ID,Leeftijd,Marges,WijkenEnBuurten,Perioden,Gemeentenaam_1,SoortRegio_2,Codering_3,ErvarenGezondheidGoedZeerGoed_4
2990,20300,MW00000,BU03630902,2020JJ00,Amsterdam,Buurt,BU03630902,75.8
2991,20300,MW00000,BU03630903,2012JJ00,Amsterdam,Buurt,BU03630903,71.2
2992,20300,MW00000,BU03630903,2016JJ00,Amsterdam,Buurt,BU03630903,70.6
2993,20300,MW00000,BU03630903,2020JJ00,Amsterdam,Buurt,BU03630903,75.0
2994,20300,MW00000,BU03630904,2012JJ00,Amsterdam,Buurt,BU03630904,74.7
2995,20300,MW00000,BU03630904,2016JJ00,Amsterdam,Buurt,BU03630904,75.2
2996,20300,MW00000,BU03630904,2020JJ00,Amsterdam,Buurt,BU03630904,78.2
2997,20300,MW00000,BU03630905,2012JJ00,Amsterdam,Buurt,BU03630905,82.8
2998,20300,MW00000,BU03630905,2016JJ00,Amsterdam,Buurt,BU03630905,82.4
2999,20300,MW00000,BU03630905,2020JJ00,Amsterdam,Buurt,BU03630905,83.1
3000,20300,MW00000,BU03630907,2012JJ00,Amsterdam,Buurt,BU03630907,75.3
3001,20300,MW00000,BU03630907,2016JJ00,Amsterdam,Buurt,BU03630907,73.0
3002,20300,MW00000,BU03630907,2020JJ00,Amsterdam,Buurt,BU03630907,77.1
3003,20300,MW00000,BU03630908,2012JJ00,Amsterdam,Buurt,BU03630908,77.8
3004,20300,MW00000,BU03630908,2016JJ00,Amsterdam,Buurt,BU03630908,77.0
3005,20300,MW00000,BU03630908,2020JJ00,Amsterdam,Buurt,BU03630908,80.3
3006,20300,MW00000,WK036310,2012JJ00,Amsterdam,Wijk,WK036310,75.2
3007,20300,MW00000,WK036310,2016JJ00,Amsterdam,Wijk,WK036310,73.0
3008,20300,MW00000,WK036310,2020JJ00,Amsterdam,Wijk,WK036310,83.0
3009,20300,MW00000,BU03631000,2012JJ00,Amsterdam,Buurt,BU03631000,80.2
3010,20300,MW00000,BU03631000,2016JJ00,Amsterdam,Buurt,BU03631000,83.5
3011,20300,MW00000,BU03631000,2020JJ00,Amsterdam,Buurt,BU03631000,85.0
3012,20300,MW00000,BU03631001,2012JJ00,Amsterdam,Buurt,BU03631001,.
3013,20300,MW00000,BU03631001,2016JJ00,Amsterdam,Buurt,BU03631001,81.7
3014,20300,MW00000,BU03631001,2020JJ00,Amsterdam,Buurt,BU03631001,.
3015,20300,MW00000,BU03631002,2012JJ00,Amsterdam,Buurt,BU03631002,75.8
3016,20300,MW00000,BU03631002,2016JJ00,Amsterdam,Buurt,BU03631002,.
3017,20300,MW00000,BU03631002,2020JJ00,Amsterdam,Buurt,BU03631002,.
3018,20300,MW00000,BU03631003,2012JJ00,Amsterdam,Buurt,BU03631003,78.8
3019,20300,MW00000,BU03631003,2016JJ00,Amsterdam,Buurt,BU03631003,71.2
3020,20300,MW00000,BU03631003,2020JJ00,Amsterdam,Buurt,BU03631003,83.8
3021,20300,MW00000,BU03631004,2012JJ00,Amsterdam,Buurt,BU03631004,.
3022,20300,MW00000,BU03631004,2016JJ00,Amsterdam,Buurt,BU03631004,.
3023,20300,MW00000,BU03631004,2020JJ00,Amsterdam,Buurt,BU03631004,.
3024,20300,MW00000,BU03631005,2012JJ00,Amsterdam,Buurt,BU03631005,72.4
3025,20300,MW00000,BU03631005,2016JJ00,Amsterdam,Buurt,BU03631005,67.7
3026,20300,MW00000,BU03631005,2020JJ00,Amsterdam,Buurt,BU03631005,.
3027,20300,MW00000,BU03631006,2012JJ00,Amsterdam,Buurt,BU03631006,75.5
3028,20300,MW00000,BU03631006,2016JJ00,Amsterdam,Buurt,BU03631006,.
3029,20300,MW00000,BU03631006,2020JJ00,Amsterdam,Buurt,BU03631006,.
3030,20300,MW00000,BU03631007,2012JJ00,Amsterdam,Buurt,BU03631007,.
3031,20300,MW00000,BU03631007,2016JJ00,Amsterdam,Buurt,BU03631007,82.0
3032,20300,MW00000,BU03631007,2020JJ00,Amsterdam,Buurt,BU03631007,.
3033,20300,MW00000,WK036311,2012JJ00,Amsterdam,Wijk,WK036311,76.7
3034,20300,MW00000,WK036311,2016JJ00,Amsterdam,Wijk,WK036311,78.8
3035,20300,MW00000,WK036311,2020JJ00,Amsterdam,Wijk,WK036311,84.0
3036,20300,MW00000,BU03631100,2012JJ00,Amsterdam,Buurt,BU03631100,74.2
